"","m0","notas.bcra","reserves","badlar","exchange","month","year","date","date2","regime","convertion1","convertion2","notas.bcra.dollars","m0.dollars","m0.frac","notas.bcra.frac"
"140",78363,48129.9,35875.8,8.3125,3.101,3,2007,"2007-3",2007-03-01,"NK",2.18428578596157,3.52585586941615,15520.7674943567,25270.2354079329,0.619505126374682,0.380494873625318
"4",79688,50577.6,37646.7,7.6875,3.0891,4,2007,"2007-4",2007-04-01,"NK",2.11673267510831,3.46021298015497,16372.9241526658,25796.5103104464,0.611734794143657,0.388265205856343
"160",81024,54417.1,39632.5,7.75,3.08,5,2007,"2007-5",2007-05-01,"NK",2.04438276666877,3.41742509304233,17667.8896103896,26306.4935064935,0.598223139061924,0.401776860938076
"120",83649,57793.3,41937.6,8.1875,3.0793,6,2007,"2007-6",2007-06-01,"NK",1.9946062721758,3.37268465529739,18768.3239697334,27164.9400837853,0.591400168125094,0.408599831874906
"100",87663,59048.9,43869.1,9.9375,3.1116,7,2007,"2007-7",2007-07-01,"NK",1.9982858093738,3.34431068793296,18977.021468055,28172.9656768222,0.597517992746328,0.402482007253672
"24",88327,58251.5,43730.8,11.5,3.1524,8,2007,"2007-8",2007-08-01,"NK",2.01978925608496,3.35183669175958,18478.4608552214,28018.9696738992,0.602591785289111,0.397408214710889
"218",87831,56947.5,42931.5,11.75,3.1475,9,2007,"2007-9",2007-09-01,"NK",2.04584046679012,3.37231403514902,18092.9308975377,27905.0039714059,0.606657756503901,0.393342243496099
"199",88171,55836.2,42723.4,13.375,3.1604,10,2007,"2007-10",2007-10-01,"NK",2.06376365176929,3.37068678990904,17667.4471585875,27898.6837109227,0.612267997711226,0.387732002288774
"180",89509,53952.9,43792.3,13.8125,3.1359,11,2007,"2007-11",2007-11-01,"NK",2.04394379833898,3.27596175583379,17204.9172486368,28543.3208967123,0.623921752047059,0.376078247952941
"43",96348,51079.6,45710.8,13.625,3.1397,12,2007,"2007-12",2007-12-01,"NK",2.10777321770785,3.22522467338135,16268.9428926331,30687.0083128961,0.653527562003316,0.346472437996684
"62",97567,50619.3,46910,8.75,3.1444,1,2008,"2008-1",2008-01-01,"CFK1",2.07987635898529,3.15894905137497,16098.2381376415,31028.8131281007,0.658407693558716,0.341592306441284
"81",95281,52872.9,48407.4,8.875,3.1583,2,2008,"2008-2",2008-02-01,"CFK1",1.96831476179262,3.06056305440904,16740.9365798056,30168.445049552,0.643121780796861,0.356878219203139
